Player Name               ,Team   ,Position ,Duration ,Distance (km) ,Sprint Distance (m) ,Power Plays ,Energy (kcal) ,Impacts ,Player Load ,Top Speed (km/h) ,Distance Per Min (m/min) ,Power Score (w/kg) ,Work Ratio ,Max Deceleration (m/s/s) ,Max Acceleration (m/s/s)
Derrick Jim Ssekulima     ,UPDF   ,CB       ,   11402 ,       3.2983 ,              0.0   ,          0 ,     349.4241 ,      0 ,   283.8065 ,         14.8481 ,                 17.3563 ,            1.2212 ,    3.2731 ,                  4.4045 ,                  4.5289
Sulaiman Kibalama         ,UPDF   ,GK       ,   11714 ,       3.3597 ,              7.474 ,          3 ,     366.4112 ,      2 ,   244.1706 ,         20.2962 ,                 17.2085 ,            1.2464 ,    4.6276 ,                  5.2741 ,                  5.5371
Christopher Kamagu        ,UPDF   ,RB       ,   11914 ,      12.7504 ,           1182.793 ,         73 ,    1487.7274 ,     26 ,   644.4076 ,         31.3683 ,                 64.212  ,            4.976  ,   23.3125 ,                  8.454  ,                  6.7823
Bashir Kabuye             ,UPDF   ,AM       ,   10010 ,      11.4673 ,            774.404 ,         66 ,    1324.374  ,      7 ,   522.7975 ,         26.9202 ,                 68.7353 ,            5.2723 ,   30.6982 ,                  6.5593 ,                  6.0445
Samuel Kayongo Ssekamatte ,UPDF   ,FW       ,   10256 ,      10.2937 ,            825.528 ,         63 ,    1195.5113 ,      5 ,   450.0725 ,         29.1362 ,                 60.2203 ,            4.6453 ,   20.4427 ,                  7.3201 ,                  5.2934
Kitara Daniel             ,UPDF   ,LW       ,   11463 ,       4.0369 ,            220.868 ,         16 ,     493.1463 ,      5 ,   254.962  ,         31.0883 ,                 21.1299 ,            1.6439 ,    6.8448 ,                  8.2178 ,                  6.7038
Rashid Faridi             ,UPDF   ,RW       ,   11894 ,       6.0519 ,            343.393 ,         23 ,     689.219  ,     13 ,   371.0015 ,         30.7362 ,                 30.5291 ,            2.3091 ,    9.8461 ,                  5.9758 ,                  5.0061
Christopher Tebandeke     ,UPDF   ,LB       ,   12410 ,      13.4911 ,           1710.987 ,         96 ,    1642.1434 ,     37 ,   700.5203 ,         31.5043 ,                 65.2269 ,            5.2731 ,   25.801  ,                  7.9667 ,                  6.2267
Anyama Richard            ,UPDF   ,GK       ,   11574 ,       7.9513 ,             65.005 ,         10 ,     837.7839 ,     17 ,   440.4866 ,         25.6882 ,                 41.2197 ,            3.0137 ,   10.4506 ,                  6.8667 ,                  5.6356
Kakule Swaibu             ,UPDF   ,CB       ,   11496 ,       2.4711 ,              0.0   ,          0 ,     247.3447 ,      1 ,   173.8579 ,         14.9361 ,                 12.8973 ,            0.9233 ,    2.6044 ,                  4.6445 ,                  4.6707
