Date,Player Name,Team,Position,Split Start Time,Split End Time,Duration,Distance (km),Sprint Distance (m),Power Plays,Energy (kcal),Impacts,Hr Load,Time In Red Zone (min),Player Load,Top Speed (km/h),Distance Per Min (m/min),Power Score (w/kg),Work Ratio,Hr Max (bpm),Max Deceleration (m/s/s),Max Acceleration (m/s/s),Distance in Speed Zone 1  (km),Distance in Speed Zone 2  (km),Distance in Speed Zone 3  (km),Distance in Speed Zone 4  (km),Distance in Speed Zone 5  (km),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s  (km),Distance in Deceleration Zones: 1 - 2 m/s/s  (km),Distance in Deceleration Zones: 2 - 3 m/s/s  (km),Distance in Deceleration Zones: 3 - 4 m/s/s  (km),Distance in Deceleration Zones: > 4 m/s/s  (km),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s  (km),Distance in Acceleration Zones: 1 - 2 m/s/s  (km),Distance in Acceleration Zones: 2 - 3 m/s/s  (km),Distance in Acceleration Zones: 3 - 4 m/s/s  (km),Distance in Acceleration Zones: > 4 m/s/s  (km),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg  (km),Distance in Power Zone: 5 - 10 w/kg  (km),Distance in Power Zone: 10 - 15 w/kg  (km),Distance in Power Zone: 15 - 20 w/kg  (km),Distance in Power Zone: 20 - 25 w/kg  (km),Distance in Power Zone: 25 - 30 w/kg  (km),Distance in Power Zone: 30 - 35 w/kg  (km),Distance in Power Zone: 35 - 40 w/kg  (km),Distance in Power Zone: 40 - 45 w/kg  (km),Distance in Power Zone: 45 - 50 w/kg  (km),Distance in Power Zone: > 50 w/kg  (km),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s
2/13/2025,Derrick Jim Ssekulima,UPDF,CB,2:41:44 PM,5:51:46 PM,11402,3.2983,0,0,349.4241,0,0,0,283.8065,14.8481,17.3563,1.2212,3.2731,0,4.4045,4.5289,1.7244,1.4727,0.1012,0,0,10363.8,1008.5,29.6,0,0,30,0,0,0,0,0,0,0,0,0,1.519,0.198,0.0406,0.0075,0.0011,4780.2,170.3,25.8,3.9,0.4,1.361,0.1387,0.0282,0.0039,0.0003,6231.1,160.1,26.3,3.5,0.3,2.1579,0.8392,0.2001,0.0562,0.0278,0.0106,0.0032,0.0024,0.0002,0.0001,0.0005,10729.5,548.5,84.1,22.4,10.5,4.1,1.4,1,0.1,0.1,0.2,11401.9,0,0,0,0,0,76,48,13,1,0,59,53,15,2
2/13/2025,Sulaiman Kibalama,UPDF,GK,2:45:13 PM,6:00:27 PM,11714,3.3597,7.474,3,366.4112,2,0,0,244.1706,20.2962,17.2085,1.2464,4.6276,0,5.2741,5.5371,1.2688,1.7521,0.3313,0.0075,0,10504.7,1116.2,92.1,1.4,0,138,2,0,0,0,0,2,0,1,0,1.5454,0.1927,0.0453,0.0105,0.0041,2984.3,142.4,25.1,4.8,1.6,1.391,0.1274,0.0294,0.0086,0.0054,8385.8,135.8,24.7,5.9,4,1.682,0.9571,0.4655,0.1705,0.0408,0.0167,0.0063,0.006,0.0023,0.0025,0.0099,10853.1,605.3,176,53,11.9,5.4,2.4,2,1,1,3.3,11714.4,0,0,0,0,0,75,38,8,8,0,70,44,14,7
2/13/2025,Christopher Kamagu,UPF,RB,2:42:07 PM,6:00:41 PM,11914,12.7504,1182.793,73,1487.7274,26,0,0,644.4076,31.3683,64.212,4.976,23.3125,0,8.454,6.7823,1.8435,6.5676,3.1565,0.9526,0.2302,6723.7,4147.5,847.7,165.3,30,728,24,2,0,0,0,35,28,7,3,5.368,0.8376,0.2353,0.0933,0.0518,4315.3,362,79.9,27.2,13.4,5.0839,0.7718,0.2236,0.064,0.021,6624.1,368.3,87.9,27.1,9,3.2488,3.709,2.2282,1.4591,0.7875,0.4621,0.2684,0.1925,0.1035,0.0724,0.2189,7908.5,2358.5,784.4,404.8,187.1,97.4,54.7,36.7,21.1,15.3,45.7,11914.2,0,0,0,0,0,232,142,55,34,0,207,118,60,38
2/13/2025,Bashir Kabuye,UPDF,AM,2:36:35 PM,5:23:24 PM,10010,11.4673,774.404,66,1324.374,7,0,0,522.7975,26.9202,68.7353,5.2723,30.6982,0,6.5593,6.0445,1.279,5.7587,3.6553,0.7204,0.054,5467.8,3440.5,967.4,126.5,7.5,170,6,1,0,0,0,31,17,15,3,4.8519,0.7648,0.2087,0.0723,0.026,4235,320.3,71.6,21.8,7.8,4.5574,0.7574,0.185,0.0378,0.0059,4902.2,348.9,81.3,18,2.8,2.0525,3.6797,2.0865,1.777,0.8957,0.4322,0.217,0.1217,0.077,0.04,0.0883,6112.4,2255.5,724.2,478.9,218.2,96.8,48,27.9,17.7,8.8,21.3,10009.7,0,0,0,0,0,236,158,54,16,0,202,130,52,30
2/13/2025,Samuel Kayongo Ssekamatte,UPDF,FW,2:46:15 PM,5:37:11 PM,10256,10.2937,825.528,63,1195.5113,5,0,0,450.0725,29.1362,60.2203,4.6453,20.4427,0,7.3201,5.2934,1.4885,5.7047,2.2749,0.7309,0.0947,5823.3,3678.7,613,127.8,12.7,169,5,0,0,0,0,38,19,4,2,4.2141,0.6435,0.2317,0.1054,0.0378,3434.8,278.1,80.5,29.4,9.9,4.1188,0.7154,0.1793,0.0431,0.0045,6007.2,318.3,75.4,19.4,2.5,3.021,2.8745,1.7701,1.0015,0.6066,0.3805,0.2179,0.1322,0.0844,0.0696,0.1353,7123.5,1839.5,638.8,286.7,147.6,82.2,45.8,29.1,18.4,14.3,29.6,10255.6,0,0,0,0,0,217,127,50,8,0,177,116,61,32
2/13/2025,KITARA DANIEL,UPDF FC,LW,2:41:37 PM,5:52:40 PM,11463,4.0369,220.868,16,493.1463,5,0,0,254.962,31.0883,21.1299,1.6439,6.8448,0,8.2178,6.7038,1.075,2.0932,0.6478,0.1716,0.0493,9921.5,1330.3,175.2,29.4,6.3,241,5,0,0,0,0,7,5,3,1,1.6429,0.3437,0.0938,0.0325,0.0144,2014.5,216.2,46.2,11.5,4.1,1.5206,0.2866,0.074,0.0223,0.006,8888.7,215.4,49.3,13.3,3.5,1.5445,1.1508,0.5599,0.3147,0.1583,0.1166,0.0647,0.0492,0.0255,0.0139,0.0388,10313.3,727.6,212.9,96.6,41.4,27.5,15.3,9.8,5.4,3,9.9,11462.8,0,0,0,0,0,111,70,34,15,0,79,76,29,16
2/13/2025,Rashid Faridi,UPDF,RW,2:33:57 PM,5:52:11 PM,11894,6.0519,343.393,23,689.219,13,0,0,371.0015,30.7362,30.5291,2.3091,9.8461,0,5.9758,5.0061,1.5083,2.833,1.3671,0.2989,0.0445,9654.4,1818.8,361.6,53.4,5.8,298,13,0,0,0,0,9,7,3,4,2.6368,0.4129,0.1002,0.036,0.0129,3222.1,226.3,41.9,10.4,4,2.3813,0.3572,0.0898,0.019,0.0058,8106.6,226.6,44,9.2,2.9,2.2083,1.5133,0.8796,0.6747,0.3662,0.1599,0.0918,0.0571,0.0285,0.018,0.0544,10252.5,957.6,317.4,185.7,88.2,36.9,20.2,12.5,6.8,4.2,12,11894,0,0,0,0,0,141,87,28,11,0,127,78,23,16
2/13/2025,Christopher Tebandeke,UPDF,LB,2:33:21 PM,6:00:11 PM,12410,13.4911,1710.987,96,1642.1434,37,0,0,700.5203,31.5043,65.2269,5.2731,25.801,0,7.9667,6.2267,1.6823,6.5827,3.5151,1.2645,0.4464,7172.7,4028.2,933.6,216.6,58.5,883,38,1,0,0,0,40,40,12,4,5.1218,1.014,0.3471,0.1789,0.1088,4084.6,433,118.1,51.4,27.4,5.2111,1.0777,0.333,0.0809,0.0177,7038.3,481.3,130.9,35.6,9,2.8313,3.8401,2.2171,1.6618,0.9148,0.6299,0.4432,0.277,0.1842,0.1466,0.3451,8133.2,2399.8,791.1,463.3,219,130.4,85.2,53.5,35.4,27.9,70.8,12409.8,0,0,0,0,0,270,176,70,41,0,228,149,88,94
2/13/2025,ANYAMA RICHARD,UPDF FC,GK,2:47:13 PM,6:00:07 PM,11574,7.9513,65.005,10,837.7839,17,0,0,440.4866,25.6882,41.2197,3.0137,10.4506,0,6.8667,5.6356,2.8956,4.1137,0.877,0.0635,0.0015,8590,2728.8,243.2,11.3,0.2,181,19,0,0,0,0,9,0,1,0,3.6202,0.4273,0.101,0.0443,0.0208,5118.4,280.3,47.8,16.9,7.3,3.2764,0.324,0.0994,0.0281,0.0098,5759.5,258.4,60.5,18.5,5.9,4.1644,2.0286,1.0006,0.418,0.1416,0.0782,0.0322,0.0204,0.0171,0.0167,0.0336,9683.9,1284.4,376.4,127.3,41.4,23.6,10.4,5.9,5.1,5.4,9.7,11573.5,0,0,0,0,0,170,69,42,18,0,141,86,29,26
2/13/2025,KAKULE SWAIBU,UPDF,CB,2:40:36 PM,5:52:12 PM,11496,2.4711,0,0,247.3447,1,0,0,173.8579,14.9361,12.8973,0.9233,2.6044,0,4.6445,4.6707,1.108,1.3129,0.0503,0,0,10571.9,909.2,14.9,0,0,56,1,0,0,0,0,0,0,0,0,1.1092,0.1699,0.0354,0.0078,0.001,2168.4,139,21.1,3.8,0.5,1.0075,0.1039,0.0292,0.006,0.0012,9006.5,125.5,25.5,4.6,1.1,1.5209,0.7288,0.1571,0.0345,0.0122,0.0057,0.0035,0.0037,0.0015,0.0012,0.0021,10920,477.6,70.3,15.1,5.5,2.7,1.6,1.5,0.6,0.4,0.7,11496,0,0,0,0,0,66,43,9,2,0,54,42,11,2
