p_name,club_for,club_against,player_club_,match_day,general_position,player_position,result,location,duration,distance_km,sprint_distance_m,power_plays,energy_kcal,impacts,player_load,power_score_wkg,work_ratio,top_speed_kmh,max_acceleration_mss,max_deceleration_mss,distance_per_min_mmin,accelerations_zone_count:_1__2_mss,accelerations_zone_count:_2__3_mss,accelerations_zone_count:_3__4_mss,accelerations_zone_count:_>_4_mss,deceleration_zone_count:_1__2_mss,deceleration_zone_count:_2__3_mss,deceleration_zone_count:_3__4_mss,deceleration_zone_count:_>_4_mss,distance_in_acceleration_zones:_0__1_mss_km,distance_in_acceleration_zones:_1__2_mss_km,distance_in_acceleration_zones:_2__3_mss_km,distance_in_acceleration_zones:_3__4_mss_km,distance_in_acceleration_zones:_>_4_mss_km,distance_in_deceleration_zones:_0__1_mss_km,distance_in_deceleration_zones:_1__2_mss_km,distance_in_deceleration_zones:_2__3_mss_km,distance_in_deceleration_zones:_3__4_mss_km,distance_in_deceleration_zones:_>_4_mss_km,distance_in_power_zone:_0__5_wkg_km,distance_in_power_zone:_10__15_wkg_km,distance_in_power_zone:_15__20_wkg_km,distance_in_power_zone:_20__25_wkg_km,distance_in_power_zone:_25__30_wkg_km,distance_in_power_zone:_30__35_wkg_km,distance_in_power_zone:_35__40_wkg_km,distance_in_power_zone:_40__45_wkg_km,distance_in_power_zone:_45__50_wkg_km,distance_in_power_zone:_5__10_wkg_km,distance_in_power_zone:_>_50_wkg_km,distance_in_speed_zone_1_km,distance_in_speed_zone_2_km,distance_in_speed_zone_3_km,distance_in_speed_zone_4_km,distance_in_speed_zone_5_km,impact_zones:_3__5_g_impacts,impact_zones:_5__10_g_impacts,power_play_duration_zones:_2.5__5_s_power_plays,power_play_duration_zones:_5__7.5_s_power_plays,power_play_duration_zones:_7.5__10_s_power_plays,power_play_duration_zones:_>_10_s_power_plays,time_in_acceleration_zones:_0__1_mss_secs,time_in_acceleration_zones:_1__2_mss_secs,time_in_acceleration_zones:_2__3_mss_secs,time_in_acceleration_zones:_3__4_mss_secs,time_in_acceleration_zones:_>_4_mss_secs,time_in_deceleration_zones:_0__1_mss_secs,time_in_deceleration_zones:_1__2_mss_secs,time_in_deceleration_zones:_2__3_mss_secs,time_in_deceleration_zones:_3__4_mss_secs,time_in_deceleration_zones:_>_4_mss_secs,time_in_hr_load_zone_0%__60%_max_hrsecs,time_in_power_zone:_0__5_wkg_secs,time_in_power_zone:_10__15_wkg_secs,time_in_power_zone:_15__20_wkg_secs,time_in_power_zone:_20__25_wkg_secs,time_in_power_zone:_25__30_wkg_secs,time_in_power_zone:_30__35_wkg_secs,time_in_power_zone:_35__40_wkg_secs,time_in_power_zone:_40__45_wkg_secs,time_in_power_zone:_45__50_wkg_secs,time_in_power_zone:_5__10_wkg_secs,time_in_power_zone:_>_50_wkg_secs,time_in_speed_zone_1_secs,time_in_speed_zone_2_secs,time_in_speed_zone_3_secs,time_in_speed_zone_4_secs,time_in_speed_zone_5_secs
Abubaker Omer Fatumah,Wakiso Hill Wfc,Kampala Queens Fc,Wakiso Hill Wfc,Wmd1,Defenders,Dc,Draw,Away,96.96666666666667,4.875900000000001,241.843,24.0,496.465,0.0,230.25670000000002,7.5375000000000005,43.121900000000004,24.6402,4.3519,4.8889,50.284290134066694,126.0,69.0,20.0,2.0,117.0,68.0,12.0,12.0,1.9468,0.3268,0.0648,0.0112,0.0015,2.0642,0.3521,0.0843,0.0165,0.0075,0.8728,1.1591,0.7142,0.3365,0.1676,0.0868,0.0461,0.0178,0.0106,1.4507999999999999,0.0136,0.49820000000000003,2.5397,1.5962,0.2355,0.0064,92.0,0.0,14.0,7.0,3.0,0.0,4016.1,162.2,31.1,5.5,1.2,1442.4,152.6,30.599999999999998,5.6,2.4,5849.5,4191.3,401.6,197.9,83.8,39.3,21.5,10.6,4.2,2.5,893.1,3.9,3876.8999999999996,1496.0,433.6,42.3,0.9
Abubaker Omer Fatumah,Wakiso Hill Wfc,Kawempe Muslim Lfc,Wakiso Hill Wfc,Wmd2,Defenders,Dc,Loss,Home,104.41666666666667,2.7654,199.854,11.0,283.48179999999996,0.0,156.3754,3.9674,21.352,23.5842,4.5,5.1273,26.484277733439743,74.0,53.0,15.0,4.0,65.0,48.0,17.0,8.0,1.0583,0.2117,0.040600000000000004,0.0067,0.0018,1.1691,0.20920000000000002,0.0463,0.0157,0.0061,0.67,0.5145,0.3464,0.2392,0.1145,0.0508,0.0156,0.0092,0.0056,0.794,0.0055,0.4662,1.3894,0.7099,0.1999,0.0,107.0,0.0,3.0,4.0,2.0,2.0,4848.4,120.0,23.400000000000002,4.3,1.0,1162.6,101.89999999999999,22.0,6.2,2.1,6291.8,5419.5,189.39999999999998,99.4,56.6,25.7,12.8,4.0,2.4,1.4,478.9,1.8,5248.3,818.2,189.3,36.1,0.0
Adrine Birungi,Rines Ss Wfc,Amus College Wfc,Rines Ss Wfc,Wmd13,Defenders,Rb,Draw,Away,97.85,8.551,437.395,38.0,857.371,5.0,405.34929999999997,13.3341,67.083,24.5602,5.2704,5.8134,87.38886050076648,233.0,113.0,43.0,9.0,232.0,100.0,33.0,18.0,3.4195,0.5876,0.114,0.0286,0.0032,3.5692,0.6423,0.1335,0.0403,0.0125,2.2241999999999997,1.8962999999999999,0.9917,0.47600000000000003,0.2586,0.1311,0.0816,0.0402,0.0258,2.3876999999999997,0.0378,1.085,4.9292,2.0993,0.4353,0.0021,148.0,5.0,22.0,14.0,2.0,0.0,2600.1,290.7,56.2,15.5,2.0,2545.4,291.8,50.5,14.3,4.0,5870.3,3195.8,684.7,286.9,119.0,58.699999999999996,32.2,19.3,9.9,6.5,1447.1,10.4,2222.0,2997.7,572.9,77.6,0.3
Adrine Birungi,Rines Ss Wfc,Amus College Wfc,Rines Ss Wfc,Wmd3,Defenders,Rb,Draw,Home,92.98333333333333,7.5577000000000005,341.88,33.0,758.9319,7.0,363.2018,11.6068,56.117999999999995,24.6322,4.6445,7.809,81.280157734361,184.0,115.0,28.0,10.0,190.0,95.0,42.0,17.0,2.9875,0.5557000000000001,0.10669999999999999,0.019,0.0027,3.1583,0.5279,0.1367,0.0463,0.0172,2.1683,1.6762,0.8498,0.4308,0.2154,0.11150000000000002,0.0696,0.04190000000000001,0.0242,1.9498,0.020499999999999997,1.2103,4.2032,1.8024,0.33899999999999997,0.0028,107.0,7.0,19.0,10.0,3.0,1.0,2877.3999999999996,284.4,53.0,12.399999999999999,1.2999999999999998,2425.5,250.7,52.599999999999994,16.3,5.2,5978.6,3722.7,606.9,248.2,110.2,50.9,27.2,17.2,9.899999999999999,5.9,1174.1,5.6,2902.9,2524.7,490.29999999999995,60.5,0.4
Adrine Birungi,Rines Ss Wfc,Fc Tooro Queens,Rines Ss Wfc,Wmd12,Defenders,Rb,Loss,Home,103.96666666666667,8.998000000000001,388.411,28.0,912.9629,1.0,446.7598,13.3925,68.8971,24.4642,4.8324,6.7223,86.5469701827509,242.0,144.0,43.0,9.0,247.0,121.0,46.0,20.0,3.4812000000000003,0.6880999999999999,0.1328,0.0275,0.0039,3.7498,0.6932,0.1522,0.0504,0.0187,2.0752,2.3312,1.2692999999999999,0.5416,0.2711,0.1341,0.0763,0.038599999999999995,0.0223,2.2045000000000003,0.0338,1.1258,4.8024000000000004,2.6814,0.3876,0.0007,209.0,1.0,13.0,7.0,7.0,1.0,2759.3,335.79999999999995,67.9,14.0,1.7999999999999998,2659.5,319.29999999999995,57.8,17.1,5.6,6237.9,3431.6000000000004,828.4,366.5,140.10000000000002,66.9,33.400000000000006,17.8,9.9,5.9,1328.2,9.399999999999999,2621.0,2812.1000000000004,735.5,69.4,0.1
Adrine Birungi,Rines Ss Wfc,Fc Tooro Queens,Rines Ss Wfc,Wmd4,Defenders,Rb,Win,Away,97.03333333333333,7.5068,371.381,33.0,748.1563,0.0,351.64779999999996,11.7513,56.9625,26.9602,5.3132,6.0162,77.36310546204054,182.0,107.0,21.0,9.0,191.0,79.0,35.0,13.0,3.0528,0.5053,0.0921,0.0184,0.0028,3.1341,0.5139,0.1313,0.043899999999999995,0.012199999999999999,2.1915,1.5715,0.8194999999999999,0.4052,0.21589999999999998,0.1062,0.0608,0.0412,0.0238,2.0298,0.0413,1.2486,4.146800000000001,1.74,0.3416,0.0298,98.0,0.0,16.0,11.0,3.0,3.0,2680.3,263.0,44.8,9.5,1.9,2506.7,249.4,48.1,14.2,3.7,5821.6,3568.5,571.3,237.10000000000002,101.0,49.5,24.0,14.0,9.3,5.0,1231.8,10.1,2757.0,2526.8999999999996,473.9,59.7,4.1
Adrine Birungi,Rines Ss Wfc,Kampala Queens Fc,Rines Ss Wfc,Wmd16,Defenders,Rb,Loss,Away,97.56666666666666,7.5388,161.806,18.0,766.8124,2.0,475.9215,11.9825,64.3498,22.7282,4.8889,6.198,77.26819268875983,348.0,142.0,33.0,5.0,288.0,154.0,40.0,10.0,2.856,0.6369,0.12459999999999999,0.020999999999999998,0.0013,2.9669,0.7085,0.1769,0.0374,0.0094,2.1651,1.5385,0.7436,0.3423,0.1452,0.0839,0.0521,0.016300000000000002,0.0099,2.4206000000000003,0.0213,1.5057,4.4358,1.4356,0.1618,0.0,231.0,2.0,14.0,2.0,2.0,0.0,2561.3,361.29999999999995,66.1,11.600000000000001,0.7,2419.8999999999996,354.2,71.1,12.8,2.7,5861.6,3428.2,592.4,229.1,94.1,40.8,22.4,14.6,4.7,2.8,1426.6,6.0,2865.5,2573.7,392.6,29.900000000000002,0.0
Adrine Birungi,Rines Ss Wfc,Kampala Queens Fc,Rines Ss Wfc,Wmd5,Defenders,Rb,Loss,Home,91.68333333333334,7.2879000000000005,339.003,33.0,739.9329,1.0,350.8672,11.4358,55.089600000000004,27.1042,5.0267,6.796,79.48991092528631,194.0,110.0,31.0,15.0,192.0,94.0,41.0,20.0,2.8822,0.527,0.1171,0.0246,0.0048000000000000004,2.9766,0.542,0.1493,0.045899999999999996,0.0185,2.0827,1.6437,0.8347,0.3585,0.2242,0.12109999999999999,0.0635,0.0504,0.031799999999999995,1.8256000000000001,0.051699999999999996,1.197,3.9877,1.7643,0.305,0.034,117.0,1.0,16.0,16.0,1.0,0.0,2890.1000000000004,267.2,56.400000000000006,14.0,2.9,2354.5,258.4,55.6,15.7,5.4,5920.299999999999,3750.2,602.5,240.5,95.6,51.4,28.3,15.2,11.4,6.9,1105.6999999999998,12.5,2988.6,2394.5,479.9,52.5,4.7
Adrine Birungi,Rines Ss Wfc,Kawempe Muslim Lfc,Rines Ss Wfc,Wmd15,Defenders,Rb,Loss,Home,97.9,5.6584,262.65,32.0,581.9571000000001,1.0,285.90319999999997,9.0504,50.121700000000004,23.6082,5.3741,5.8593,57.79775280898877,173.0,82.0,38.0,7.0,185.0,74.0,27.0,11.0,2.1751,0.4466,0.0963,0.0201,0.0039000000000000003,2.2923999999999998,0.4843,0.0998,0.0296,0.0103,1.0168,1.4425999999999999,0.8946999999999999,0.4536,0.1867,0.08789999999999999,0.047,0.0228,0.015,1.4682,0.023,0.5367,2.9876,1.8715,0.2619,0.0007,165.0,1.0,19.0,8.0,3.0,2.0,3876.5,212.7,47.199999999999996,10.9,2.2,1459.0,213.10000000000002,39.3,10.3,3.1,5874.1,4031.7,514.9,252.3,112.5,47.900000000000006,22.9,12.299999999999999,5.6,4.0,863.6,6.6,3624.3,1698.5,503.59999999999997,47.800000000000004,0.1
Adrine Birungi,Rines Ss Wfc,Lady Doves Fc,Rines Ss Wfc,Wmd11,Defenders,Rb,Loss,Away,99.68333333333334,8.086400000000001,431.908,34.0,811.9063,2.0,384.4864,12.3986,59.846999999999994,27.0882,5.5152,8.0162,81.12088279551915,180.0,106.0,46.0,14.0,173.0,110.0,33.0,26.0,3.2281,0.5294000000000001,0.12179999999999999,0.027800000000000002,0.0044,3.4231,0.5274,0.15289999999999998,0.0482,0.0232,2.242,1.9113,0.9321,0.4756,0.2479,0.12029999999999999,0.0644,0.0508,0.0258,1.9628,0.0534,1.1459000000000001,4.489,2.0196,0.39990000000000003,0.032100000000000004,134.0,2.0,17.0,14.0,2.0,1.0,2708.9,248.2,57.1,14.7,2.9,2642.4,237.4,57.7,16.4,6.5,5992.0,3598.8999999999996,687.3,268.7,118.1,57.400000000000006,28.200000000000003,15.5,12.3,6.199999999999999,1186.1,13.5,2655.0,2711.5,550.4000000000001,70.9,4.4
