Date,Session Title,Player Name,Split Name,Tags,Split Start Time,Split End Time,Duration,Distance (km),Sprint Distance (m),Power Plays,Energy (kcal),Impacts,Hr Load,Time In Red Zone (min),Player Load,Top Speed (km/h),Distance Per Min (m/min),Power Score (w/kg),Work Ratio,Hr Max (bpm),Max Deceleration (m/s/s),Max Acceleration (m/s/s),Distance in Speed Zone 1  (km),Distance in Speed Zone 2  (km),Distance in Speed Zone 3  (km),Distance in Speed Zone 4  (km),Distance in Speed Zone 5  (km),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s  (km),Distance in Deceleration Zones: 1 - 2 m/s/s  (km),Distance in Deceleration Zones: 2 - 3 m/s/s  (km),Distance in Deceleration Zones: 3 - 4 m/s/s  (km),Distance in Deceleration Zones: > 4 m/s/s  (km),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s  (km),Distance in Acceleration Zones: 1 - 2 m/s/s  (km),Distance in Acceleration Zones: 2 - 3 m/s/s  (km),Distance in Acceleration Zones: 3 - 4 m/s/s  (km),Distance in Acceleration Zones: > 4 m/s/s  (km),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg  (km),Distance in Power Zone: 5 - 10 w/kg  (km),Distance in Power Zone: 10 - 15 w/kg  (km),Distance in Power Zone: 15 - 20 w/kg  (km),Distance in Power Zone: 20 - 25 w/kg  (km),Distance in Power Zone: 25 - 30 w/kg  (km),Distance in Power Zone: 30 - 35 w/kg  (km),Distance in Power Zone: 35 - 40 w/kg  (km),Distance in Power Zone: 40 - 45 w/kg  (km),Distance in Power Zone: 45 - 50 w/kg  (km),Distance in Power Zone: > 50 w/kg  (km),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s
46043,MD13-KCCA FC-Maroons FC-Away-League-DRAW,Emmanuel Anyama-KCCA FC-FWD,all, game, 46043.730719907,46043.76641088,"3084",3.0897,299.108,25,381.8325,2,0,0,149.2238,33.8563,60.1104,4.9342,22.914,6,6.4001,5.72,"1.3359","0.9913","0.4634","0.2034","0.0957","2589","344.6","103.9","34.1","12.1","89","2","0","0","0","0","12","11","2","0","1.1762","0.2679","0.0805","0.0351","0.0261","986.6","113.1","25.3","9.8","6.5","1.1181","0.2801","0.0789","0.0238","0.0031","1779.3","119.5","31.6","10.5","1.5","0.6831","0.7649","0.5422","0.3997","0.2382","0.1477","0.094","0.0548","0.0485","0.0218","0.0947","2146.4","481.5","192.1","110.4","57.5","31.8","20.6","11.9","8.8","4.8","17.9","3083.7","0","0","0","0","0","60","42","27","7","0","72","34","17","16"
46043,MD13-KCCA FC-Maroons FC-Away-League-DRAW,SHAFIK KWIKIRIZA-KCCA-MF,all, game, 46043.663664352,46043.750336806,"7489",7.3542,592.603,43,866.36,11,0,0,341.7065,32.7043,58.9199,4.6102,21.5784,0,7.0519,4.9149,"3.267","2.4791","1.0155","0.4272","0.1654","6288.8","879","227.9","71.9","20.9","258","10","1","0","0","0","21","14","1","7","3.0002","0.5041","0.136","0.0703","0.0362","2475.1","201.2","44.8","17.5","8.8","2.9113","0.5212","0.1376","0.0309","0.0066","4458.2","214.9","50.7","13.3","4","1.8093","1.8767","1.3236","0.9364","0.5417","0.3024","0.1655","0.1382","0.0717","0.0423","0.1464","5293.6","1159.9","470.4","259.1","129.1","63.7","34.6","26","14.8","8.4","28.9","0","0","0","0","0","0","153","81","30","19","0","147","75","28","28"
46043,MD13-KCCA FC-Maroons FC-Away-League-DRAW,Saidi Mayanja-KCCA FC-MF,all, game, 46043.657373843,46043.712177083,"4735",6.5681,580.932,62,781.0295,4,0,0,286.8463,27.7602,83.2282,6.575,33.453,18,6.3889,5.4134,"2.2342","2.2805","1.4724","0.5489","0.0321","3530.7","775.9","329.4","94.6","4.4","77","4","0","0","0","0","32","18","8","4","2.6119","0.5148","0.1565","0.0481","0.0136","1733","186.8","49.4","14.7","3.8","2.5569","0.5283","0.1097","0.0219","0.0064","2485.7","201.6","45","11.5","3.5","1.1224","1.3401","1.2847","1.2089","0.768","0.3776","0.187","0.1191","0.0697","0.0388","0.0517","2790.8","824.5","442.1","318.8","174.1","80","40.6","26.5","15.3","9","13.3","4735","0","0","0","0","0","140","78","32","13","0","114","77","35","15"
46043,MD13-KCCA FC-Maroons FC-Away-League-DRAW,Ashraf Mugume-KCCA FC-MF,all, game, 46043.657550926,46043.71231713,"4732",6.1006,590.24,56,750.7616,10,0,0,274.6782,29.6322,77.3531,6.3226,31.1431,18,7.2927,5.7926,"2.1084","2.2954","1.1066","0.4985","0.0917","3582.2","805.6","246.5","85.2","12.2","172","10","0","0","0","0","29","17","8","2","2.3321","0.4637","0.1923","0.0807","0.0295","1722.2","176.2","63.8","23.1","7.3","2.2521","0.5503","0.1587","0.0312","0.01","2450.1","209.8","59.9","14.1","5.2","1.0541","1.3857","1.2389","0.9382","0.5814","0.3243","0.2059","0.1136","0.0755","0.0648","0.1182","2866.2","842.3","436.5","257.7","132.5","70.7","44.5","24.9","16.2","13.5","26.7","4731.8","0","0","0","0","0","133","79","36","20","0","112","72","48","22"
46043,MD13-KCCA FC-Maroons FC-Away-League-DRAW,Derrick Paul-KCCA FC-FW,all, game, 46043.661512731,46043.761087963,"8603",6.3887,600.949,51,782.9125,13,0,0,320.3755,31.4883,44.5571,3.6263,16.0661,3,7.226,5.6312,"2.8773","1.8913","1.0192","0.5016","0.0994","7619.9","658.1","228.1","84","13.1","305","14","0","0","0","0","25","15","9","2","2.5436","0.4446","0.1524","0.0912","0.0594","2234.3","180","48.5","26","16.7","2.3748","0.4933","0.1621","0.0534","0.014","5799.8","202.9","63.5","24","7.5","1.546","1.5574","0.9867","0.8444","0.507","0.3678","0.192","0.1017","0.0948","0.0609","0.1301","6715","984.3","346.4","230.8","118.8","78.4","41.1","23.2","21.1","13.8","30.3","8603.3","0","0","0","0","0","93","77","61","28","0","104","55","33","52"
46043,MD13-KCCA FC-Maroons FC-Away-League-DRAW,Fillbert Obenchan-KCCA FC-CB,all, game, 46043.657633102,46043.764042824,"9194",10.3929,400.394,47,1213.7603,8,0,0,492.1927,26.8002,67.8241,5.2608,28.0866,0,7.3927,6.4401,"5.2716","3.5974","1.1235","0.3811","0.0193","7603.8","1270.1","252.5","64.6","2.7","279","8","0","0","0","0","27","14","4","2","4.3918","0.7229","0.2023","0.0875","0.0338","3615.7","330.3","73.1","27.4","10.2","3.9973","0.7001","0.2005","0.0446","0.0121","4658.2","363.9","89","19.3","6.6","2.4637","3.3031","2.0059","1.2405","0.6446","0.3063","0.1278","0.0936","0.0556","0.0375","0.1142","5742.5","2048.1","710.7","355.6","161.9","70","31.3","23.6","13.1","9.3","27.6","9193.8","0","0","0","0","0","190","165","42","24","0","228","116","41","40"
46043,MD13-KCCA FC-Maroons FC-Away-League-DRAW,Joel Sserunjogi-KCCA FC-MF,all, game, 46043.658512731,46043.761271991,"8878",12.9254,681.438,96,1526.1224,4,0,0,534.4116,26.3682,87.3538,6.8496,38.1848,0,6.5001,6.6445,"4.9641","4.3584","2.9215","0.6463","0.0352","6607.2","1496.7","657.5","112.1","4.9","133","4","0","0","0","0","51","23","15","7","5.3606","0.9584","0.2646","0.0871","0.0425","3668.5","377.5","91.2","27.7","12.1","4.9534","0.9762","0.2173","0.0521","0.0134","4161.8","417.9","91.9","23.3","6.5","2.0514","3.4146","2.2979","2.5567","1.3926","0.5833","0.2691","0.1392","0.066","0.0429","0.1116","4707.4","2093","792.4","673.7","327.7","133.2","63.3","33.3","16","10.5","27.9","8878.4","0","0","0","0","0","270","160","53","28","0","274","143","61","39"
46042,URA FC VS AMIGOSI UNITED WIN,Moses Okabo - URA-RW,all, training, 46042.390788194,46042.535060185,"9474",7.0655,975.144,60,859.6977,3,0,0,358.5491,34.4483,44.7467,2.7483,10.5631,0,5.9596,5.9378,"3.3289","1.8527","0.9088","0.8117","0.1635","11444.6","661.9","200.5","137.1","21","189","3","0","0","0","0","24","19","13","4","2.8133","0.5725","0.1969","0.0725","0.0299","2502.6","228.4","62.8","20.3","8.9","2.6137","0.5095","0.1888","0.0555","0.013","9313.6","226.4","71.9","24","6.2","2.2333","1.3559","1.0219","0.6772","0.6123","0.4608","0.2452","0.117","0.0815","0.0592","0.2013","10684.3","851.6","369.3","188.5","133.7","91.7","48.6","25.8","16.5","13.3","41.8","12465.1","0","0","0","0","0","108","84","54","25","0","119","80","30","33"
46043,MD13-URA FC DAY5 TRAINING NAKIVUBO ,Moses Okabo - URA-RW,all, training, 46043.666065972,46043.79684838,"9202",7.0549,619.524,42,842.1582,29,0,0,402.1331,30.0882,46.0004,2.9703,10.6163,0,5.8038,6.7273,"3.9685","1.7355","0.7314","0.5071","0.1125","10398.2","638.7","162.4","85.5","14.8","336","31","0","0","0","0","20","12","6","4","2.9507","0.6368","0.1803","0.0347","0.0164","3458.7","285","61.8","9.5","4.5","2.4889","0.493","0.1942","0.0496","0.0105","7110.6","259.3","82","22.4","5.8","2.9345","1.3766","0.8818","0.6003","0.4333","0.2791","0.1556","0.1071","0.0685","0.0522","0.166","9675.7","848.6","328.5","171.3","100.1","56.3","34.8","22.3","15","11.5","35.5","11299.6","0","0","0","0","0","134","101","55","20","0","151","101","25","14"
46045,MD13-URA FC DAY6 TRAINING NAKIVUBO ,Moses Okabo - URA-RW,all, training, 46045.766880787,46045.849824074,"6125",4.3671,175.075,19,501.9129,7,0,0,263.4129,25.9682,42.7801,2.7929,10.964,0,6.4267,5.2267,"2.5774","1.3298","0.2848","0.1507","0.0244","6568.1","505.1","64.1","25.5","3.4","186","7","0","0","0","0","17","0","0","2","1.9322","0.3527","0.0808","0.0126","0.0043","2197.1","182.6","33.7","4.7","1.6","1.6271","0.2324","0.0955","0.023","0.0067","4513.3","166.2","50.8","12.6","3.6","1.9039","1.0281","0.7081","0.2813","0.165","0.0972","0.0472","0.0432","0.03","0.0158","0.0475","6095.9","610.1","265.5","86","41.2","21.6","11","11.2","7.4","3.5","12.8","0","0","0","0","0","0","73","54","31","15","0","92","63","14","3"
