team            , session_title, player_name                   , position             , distance_km, sprint_distance_m, duration_min, distance_in_speed_zone_1_km, distance_in_speed_zone_2_km, distance_in_speed_zone_3_km, distance_in_speed_zone_4_km, distance_in_speed_zone_5_km, top_speed, distance_per_min, position_group
Bul FC          , MD1          , Fesali Najib                  , Defenders            ,      8.1394,           512.397,  97.55      ,                      1.0834,                      4.6092,                      1.9343,                      0.3927, 0.1197                     ,   30.4962,      83.4382368 , Defenders
Bul FC          , MD1          , Hillary Onek                  , Wide Defenders       ,     10.2942,           965.504,  97.55      ,                      0.9337,                      4.8687,                      3.5262,                      0.9038, 0.0616                     ,   27.9122,     105.5274218 , Wide Defenders
Bul FC          , MD1          , Isaac Wagoina                 , Attacking Midfielders,      8.1732,           583.342,  80.53333333,                      0.7191,                      4.134 ,                      2.7368,                      0.5559, 0.0274                     ,   27.5682,     101.4884106 , Attacking Midfielders
Bul FC          , MD1          , Martin Aprem                  , Wide Midfielders     ,      3.2225,           375.187,  97.55      ,                      0.4711,                      1.4366,                      0.9397,                      0.3298, 0.0454                     ,   27.1522,      33.03434136, Wide Midfielders
Bul FC          , MD1          , Nicholas Mwere                , Wide Defenders       ,      8.2025,           680.359,  97.55      ,                      1.0097,                      4.457 ,                      2.0555,                      0.6022, 0.0782                     ,   30.4322,      84.08508457, Wide Defenders
Bul FC          , MD1          , RAMZ KAWOOYA                  , Central Midfielders  ,      9.6361,           522.552,  97.55      ,                      0.8077,                      5.543 ,                      2.7629,                      0.4627, 0.0599                     ,   27.9842,      98.78113788, Central Midfielders
Bul FC          , MD1          , Reagan Kalyowa                , Wide Midfielders     ,      6.6276,           745.648,  64.86666667,                      0.6113,                      2.9876,                      2.283 ,                      0.66  , 0.0856                     ,   29.3442,     102.1726619 , Wide Midfielders
Bul FC          , MD1          , Walter Ochora                 , Defenders            ,      8.2966,           490.877,  97.55      ,                      1.1102,                      4.3246,                      2.3709,                      0.4427, 0.0482                     ,   27.0482,      85.04971809, Defenders
Bul FC          , MD10         , Dickson Mataama               , Forward              ,      8.5704,          1157.868,  98.98333333,                      0.6828,                      4.0444,                      2.6854,                      0.981 , 0.1769                     ,   29.5122,      86.58427345, Forward
Bul FC          , MD10         , Fesali Najib                  , Defenders            ,      8.5218,           684.947,  98.98333333,                      1.1874,                      4.6484,                      2.001 ,                      0.5472, 0.1378                     ,   31.2323,      86.0932817 , Defenders
Bul FC          , MD10         , Ibrahim Mugulusi              , Attacking Midfielders,      7.0683,           418.494,  98.98333333,                      0.6327,                      3.6528,                      2.3643,                      0.4157, 0.0028                     ,   24.7202,      71.40899141, Attacking Midfielders
Bul FC          , MD10         , Martin Aprem                  , Wide Midfielders     ,      9.9621,          1048.478,  98.98333333,                      0.9951,                      5.1363,                      2.7823,                      0.785 , 0.2636                     ,   32.6083,     100.6442162 , Wide Midfielders
Bul FC          , MD10         , NGALO   FREDRICK              , Wide Defenders       ,      9.9117,          1523.624,  98.98333333,                      1.0468,                      4.4311,                      2.9101,                      1.2334, 0.2903                     ,   32.3363,     100.1350396 , Wide Defenders
Bul FC          , MD10         , NGOBI PASCAL                  , Central Midfielders  ,      9.6529,           843.298,  98.98333333,                      0.9874,                      4.6729,                      3.1492,                      0.7507, 0.0927                     ,   29.0962,      97.52045799, Central Midfielders
Bul FC          , MD10         , Nicholas Mwere                , Wide Defenders       ,      8.5244,           845.392,  98.98333333,                      1.0266,                      4.5344,                      2.1181,                      0.668 , 0.1774                     ,   35.1843,      86.11954875, Wide Defenders
Bul FC          , MD10         , Walter Ochora                 , Defenders            ,      8.2994,           701.734,  98.98333333,                      1.2336,                      4.6242,                      1.74  ,                      0.6216, 0.0801                     ,   29.6802,      83.84643879, Defenders
Bul FC          , MD10         , Yafeesi Mubiru                , Forward              ,      9.2533,           925.341,  98.98333333,                      1.0477,                      4.4635,                      2.8169,                      0.7806, 0.1448                     ,   29.8562,      93.48341472, Forward
Bul FC          , MD11         , Benon Tahomera                , Defenders            ,      5.2129,           318.003,  68.45      ,                      0.5451,                      2.9175,                      1.4323,                      0.2744, 0.0436                     ,   28.8482,      76.15631848, Defenders
Bul FC          , MD11         , Dickson Mataama               , Forward              ,      5.2338,           437.561, 106.65      ,                      0.7267,                      3.0012,                      1.0683,                      0.3591, 0.0785                     ,   31.3603,      49.0745429 , Forward
